,precision,recall,f1-score,support
lag,0.9047619047619048,0.9743589743589743,0.9382716049382716,39.0
bjǫrn,0.0,0.0,0.0,0.0
heimr,0.0,0.0,0.0,6.0
hestr,0.0,0.0,0.0,0.0
geta,1.0,0.5,0.6666666666666666,4.0
langr,0.38095238095238093,0.8888888888888888,0.5333333333333333,9.0
sannr,0.5,0.16666666666666666,0.25,6.0
nefna,0.0,0.0,0.0,2.0
stefna,0.0,0.0,0.0,0.0
þorkell,0.0,0.0,0.0,0.0
illr,1.0,0.14285714285714285,0.25,7.0
darius,0.0,0.0,0.0,0.0
ǽtt,0.0,0.0,0.0,0.0
hvar,0.0,0.0,0.0,0.0
flytja,0.0,0.0,0.0,0.0
líf,0.0,0.0,0.0,0.0
berja,0.3333333333333333,0.25,0.2857142857142857,4.0
eyrir,0.8,1.0,0.8888888888888888,16.0
né,0.9487179487179487,0.9024390243902439,0.925,41.0
lifa,0.0,0.0,0.0,0.0
þorgeirr,1.0,0.5,0.6666666666666666,2.0
tíðendi,0.0,0.0,0.0,0.0
hjá,0.0,0.0,0.0,0.0
tveir,0.6981132075471698,0.925,0.7956989247311828,40.0
eiríkr,0.0,0.0,0.0,0.0
hugr,0.0,0.0,0.0,0.0
þangat,0.0,0.0,0.0,0.0
lúka,0.9047619047619048,1.0,0.95,19.0
móðir,0.88,1.0,0.9361702127659575,22.0
vápn,1.0,0.25,0.4,4.0
hús,0.0,0.0,0.0,2.0
jafnan,0.975,1.0,0.9873417721518988,39.0
líða,0.7142857142857143,0.38461538461538464,0.5,13.0
skipa,0.6666666666666666,0.5714285714285714,0.6153846153846154,7.0
oddr,0.0,0.0,0.0,0.0
dómr,0.0,0.0,0.0,0.0
bersi,1.0,1.0,1.0,14.0
of,0.9743589743589743,1.0,0.987012987012987,38.0
undan,0.0,0.0,0.0,0.0
eldr,1.0,0.5,0.6666666666666666,2.0
kenna,1.0,1.0,1.0,7.0
síð,0.9333333333333333,1.0,0.9655172413793104,28.0
bǿta,0.0,0.0,0.0,0.0
sekr,0.0,0.0,0.0,0.0
kaupa,0.9285714285714286,0.9285714285714286,0.9285714285714286,14.0
skjótr,0.0,0.0,0.0,0.0
þrír,0.5535714285714286,0.96875,0.7045454545454546,32.0
vinr,0.5,0.6666666666666666,0.5714285714285714,3.0
hǫfuð,0.0,0.0,0.0,0.0
meðan,0.0,0.0,0.0,0.0
selja,0.9090909090909091,0.9523809523809523,0.9302325581395349,21.0
hár,0.0,0.0,0.0,9.0
þaðan,1.0,1.0,1.0,35.0
hefja,0.875,1.0,0.9333333333333333,21.0
skifta,0.8571428571428571,0.8571428571428571,0.8571428571428571,7.0
oft,0.9642857142857143,0.9,0.9310344827586207,30.0
betr,0.8095238095238095,1.0,0.8947368421052632,34.0
leiða,0.5454545454545454,0.75,0.631578947368421,8.0
draga,0.0,0.0,0.0,0.0
gunnlaugr,0.0,0.0,0.0,3.0
ímót,0.375,0.75,0.5,12.0
herra,0.0,0.0,0.0,0.0
hyggja,0.0,0.0,0.0,2.0
sumr,0.0,0.0,0.0,3.0
bú,0.6388888888888888,0.8846153846153846,0.7419354838709677,26.0
sigla,0.0,0.0,0.0,0.0
brjóta,1.0,0.5,0.6666666666666666,6.0
hitta,0.0,0.0,0.0,0.0
stund,0.75,0.6666666666666666,0.7058823529411765,9.0
dróttinn,0.0,0.0,0.0,0.0
ofan,0.0,0.0,0.0,0.0
líta,0.8,1.0,0.8888888888888888,8.0
aldri,0.6382978723404256,0.9375,0.759493670886076,32.0
vitni,1.0,1.0,1.0,2.0
hrafn,0.0,0.0,0.0,0.0
stórr,0.375,1.0,0.5454545454545454,6.0
víss,1.0,0.2,0.3333333333333333,5.0
arinbjǫrn,0.0,0.0,0.0,0.0
vegr,0.6176470588235294,0.8076923076923077,0.7,26.0
noregr,0.0,0.0,0.0,0.0
fótr,0.0,0.0,0.0,0.0
morginn,0.875,1.0,0.9333333333333333,14.0
mót,0.5454545454545454,0.9230769230769231,0.6857142857142857,13.0
